level1	level2
P59336	3.8.1.5
P11009	2.7.3.2
P00935	2.5.1.48
B0FXJ2	3.4.21.62
P22106	6.3.5.4
P36887	2.7.11.11
P0ABF6	3.5.4.5
P08074	1.1.1.184
P31797	2.4.1.19
P26214	3.2.1.15
P03230	2.3.2.27
P28908	2.3.2.27
P43642	3.1.21.4
P43489	2.3.2.27
P20334	2.3.2.27
Q60034	1.5.1.3
P40394	1.1.1.1
P40347	3.1.3.48
P22812	2.7.11.1
Q57815	5.6.2.2
P83223	1.3.5.4
P11024	1.6.1.1
P24817	3.2.2.22
P0AC88	4.2.1.47
P25971	4.1.1.23
P70985	3.1.21.4
Q62651	4.2.1.17
P46275	3.1.3.11
P16554	2.7.1.37
Q43060	4.2.1.1
P32170	5.3.1.14
P04531	2.7.4.13
P10775	4.6.1.18
Q03471	4.2.3.9
P0AF03	2.7.7.75
P11348	1.5.1.34
P80022	4.6.1.19
Q96529	6.3.4.4
O24396	6.3.4.4
P00700	3.2.1.17
Q56308	2.1.1.77
P0C0F4	1.1.1.22
P07773	1.13.11.1
P07917	2.7.7.7
P10226	2.7.7.7
O68557	3.1.21.4
P00914	4.1.99.3
Q8ZY28	4.3.2.2
E7FHX6	1.17.4.1
P82385	1.15.1.2
Q24973	2.4.2.8
P28298	4.1.3.1
P04036	1.17.1.8
P13000	6.3.3.3
P11204	3.6.1.23
P23522	4.1.2.20
P37031	5.3.1.5
O81934	3.2.1.14
P31023	1.8.1.4
Q64669	1.6.5.2
Q54488	3.5.2.6
Q7SIG5	3.2.1.4
P26394	5.1.3.13
P04032	1.12.7.2
Q25163	3.4.21.5
P95474	2.7.2.2
P37321	3.5.2.6
Q00267	2.3.1.118
Q9QYY9	1.1.1.1
Q53597	2.7.7.8
P25051	6.1.2.1
P62707	5.4.2.11
A2FEV4	4.4.1.11
O15564	4.4.1.11
P73283	2.3.1.41
O09345	1.14.11.28
Q9ZVQ3	2.5.1.18
P00257	1.18.1.6
P08165	1.18.1.6
O70351	1.1.1.35
P07955	2.8.4.1
P07962	2.8.4.1
P07964	2.8.4.1
P22188	6.3.2.13
Q9Q2W5	3.2.1.18
O02697	2.7.1.153
P14916	3.5.1.5
P69996	3.5.1.5
Q59226	3.2.1.54
P07851	3.4.21.36
P46076	3.4.24.39
O83008	3.2.1.14
P04067	3.2.1.96
P00328	1.1.1.1
Q9RHW0	4.2.2.2
Q02046	1.5.1.15
P49058	1.1.1.205
O26147	2.7.7.6
Q9UBR2	3.4.18.1
P07103	3.2.1.4
Q03ZI1	6.3.2.4
O00746	2.7.4.6
O31243	3.3.2.10
Q9ZBA9	3.4.11.19
Q51782	3.11.1.2
O27122	2.7.7.6
P0C0R7	2.1.1.166
P82107	3.4.21.4
P50861	2.5.1.78
P50431	2.1.2.1
P34914	3.3.2.3
P98072	3.4.21.9
Q57599	3.1.26.4
P17067	4.2.1.1
P80276	1.1.1.21
Q7SIG3	3.4.21.36
P80030	1.3.1.9
P36913	3.2.1.96
P04802	6.1.1.12
O27818	5.1.3.13
Q7SIG2	3.4.21.1
P0CW86	1.15.1.1
P01016	3.4.23.22
Q45488	3.1.21.4
P0AGD1	1.15.1.1
P39593	2.7.1.50
P00591	3.1.1.3
A0A140NB38	4.1.2.14
P00502	2.5.1.18
P10955	2.7.13.3
P0A3C8	1.18.1.2
P26876	3.1.1.3
P45478	3.1.2.22
Q93099	1.13.11.5
P9WND1	2.5.1.15
Q56694	1.2.1.4
P56511	1.1.1.27
P83851	3.2.2.1
P37837	2.2.1.2
P06149	1.1.1.28
P12047	4.3.2.2
Q44048	1.13.11.15
P13100	2.1.1.45
O33705	2.5.1.18
P07752	4.1.2.13
P10295	3.4.21.4
P19400	3.4.23.1
P13745	2.5.1.18
Q15628	2.3.2.27
P77853	3.2.1.8
P89883	2.7.11.22
P17117	1.6.5.10
O82827	2.5.1.31
P0A7E1	1.3.5.2
P44539	4.1.3.3
Q05506	6.1.1.19
P80643	2.7.8.7
P96618	2.7.8.7
Q59096	1.1.1.90
P22361	4.2.1.96
Q51958	5.5.1.1
P0AC81	4.4.1.5
P30793	3.5.4.16
P84010	2.1.3.3
P07764	4.1.2.13
P21692	3.4.24.7
P0AB77	2.3.1.29
O04073	3.4.21.102
P79226	4.1.2.13
Q9P4R4	1.5.1.10
P19913	1.2.5.3
P19914	1.2.5.3
P19915	1.2.5.3
P05889	5.2.1.8
P31670	2.5.1.18
O22443	1.11.1.7
P32377	4.1.1.33
Q9GL10	3.4.21.10
P08001	3.4.21.10
P62139	3.1.3.16
P80702	1.1.1.50
P07975	3.1.1.53
P19957	3.4.21.36
P14141	4.2.1.1
P0AET8	1.1.1.159
P06244	2.7.1.37
P17560	5.1.3.8
P93324	2.1.1.154
O46469	3.1.4.35
P04695	3.1.4.35
Q46041	3.5.2.6
P00455	1.18.1.2
P15848	3.1.6.12
P69922	5.3.1.3
P54149	1.8.4.11
Q51705	1.7.2.4
Q99279	4.6.1.1
Q99280	4.6.1.1
P68401	3.1.1.47
P62993	2.7.10.1
P36623	5.4.2.1
P19424	3.2.1.4
P52181	2.3.2.13
P01094	3.4.23.25
Q9XSC6	2.7.3.2
Q9EU31	4.2.1.46
P42773	2.7.11.22
Q98147	2.7.11.22
O14717	2.1.1.37
Q50565	4.2.1.1
Q9QZM2	2.7.7.7
P23192	2.1.1.72
P32906	3.2.1.113
P07265	3.2.1.20
Q7SIF3	1.20.9.1
Q7SIF4	1.20.9.1
P36234	1.1.1.29
P81054	3.4.24.20
P05994	3.4.22.25
P06715	1.8.1.7
P32055	1.1.1.271
P11880	6.3.2.10
P56206	6.1.1.14
P20708	2.3.1.61
P12257	3.2.1.73
P15737	3.2.1.39
Q9JZ09	1.8.1.4
P21310	4.3.1.3
Q7SIE9	3.5.2.2
P81006	3.5.2.2
P80060	3.4.21.1
P24604	2.7.1.112
P58464	3.1.1.4
P0A6V5	2.8.1.1
Q57840	2.7.7.6
Q60351	2.7.7.6
P81165	3.1.1.4
P48467	5.6.1.3
Q59976	3.2.1.21
P00435	1.11.1.9
P80966	3.1.1.4
P81156	1.1.3.4
P00497	2.4.2.14
Q9UXR8	1.2.1.70
P81139	3.1.1.3
P04079	6.3.5.2
P0AD59	3.2.1.17
P20166	2.7.1.69
Q59250	2.7.1.69
P40927	1.1.1.40
P0DJQ3	3.5.3.22
P83218	3.1.1.11
P54517	4.2.1.10
P9WKI1	5.5.1.4
O88554	2.4.2.30
P15640	6.3.4.13
P20136	2.5.1.18
P80319	1.4.1.3
P27213	4.2.3.12
P24472	2.5.1.18
P80039	1.1.1.37
P0C890	1.1.1.37
P0AB74	4.1.2.40
Q05581	1.14.11.21
P24232	1.5.1.34
Q6H321	3.4.21.35
O04941	2.5.1.18
P00131	1.12.7.2
Q9F7L3	4.2.2.2
P52708	4.1.2.11
Q12718	1.10.3.2
P95470	
P68767	3.4.11.1
P97852	1.1.1.62
P32946	3.1.1.3
P08059	5.3.1.9
Q8GC87	1.17.1.9
Q934F5	1.17.1.9
P52013	5.2.1.8
P03198	2.7.7.7
Q30154	2.7.7.7
Q8TG26	3.2.1.4
Q9SE42	5.1.3.1
Q9Y9P9	1.1.1.1
P83453	6.1.1.1
B3PC73	
Q7LHI2	3.2.1.91
Q7SIE2	3.2.1.8
P52197	2.8.1.1
P23776	3.2.1.58
Q7SIE1	2.4.1.8
O93868	1.1.1.138
P37744	2.7.7.24
Q58504	2.7.1.39
P08680	2.3.1.37
P42216	2.7.7.38
Q28943	1.3.1.2
Q51400	3.5.2.6
P12071	3.4.21.4
P29422	1.11.1.6
Q5SM28	6.1.1.15
P34130	2.7.10.1
Q9P8T8	3.2.1.113
P17721	1.2.1.12
P09417	1.5.1.34
P28509	3.4.21.5
P07598	1.12.7.2
P07603	1.12.7.2
Q9Y780	1.10.3.2
P00713	2.4.1.22
P00711	2.4.1.22
P62003	5.3.1.1
P51900	2.4.2.8
P00704	3.2.1.17
P80302	3.4.21.35
Q59962	3.2.1.8
P32173	2.7.7.77
P0A809	3.6.4.12
P83691	3.2.1.89
P0A814	3.1.22.4
P83692	3.2.1.89
P07071	1.1.98.6
P07098	3.1.1.3
Q97R46	2.7.7.23
P00712	2.4.1.22
P00709	2.4.1.22
Q59288	4.2.2.5
P59807	4.2.2.4
Q07006	3.4.21.82
P29183	3.1.1.3
P19731	1.14.13.7
P39126	1.1.1.42
P61431	1.3.1.98
P15167	3.4.24.42
P16048	1.4.4.2
P20142	3.4.23.3
Q9R435	3.5.2.6
Q9AVR2	3.2.2.22
P19871	1.1.1.51
P09148	2.7.7.12
Q60176	1.1.1.375
P14295	1.1.1.27
P52664	3.5.2.6
Q7SIE0	4.3.2.1
P06732	2.7.3.2
O29428	1.16.1.10
P21638	5.4.99.61
P00898	4.1.3.27
P00905	4.1.3.27
P43577	2.3.1.4
P28305	4.1.3.38
Q27890	1.2.1.12
Q14376	5.1.3.2
P70881	2.4.2.9
P37090	2.3.2.26
P42419	5.3.99.11
O68579	3.6.1.1
P09169	3.4.23.49
P00897	4.1.3.27
P00900	4.1.3.27
P02607	5.6.1.8
P02609	5.6.1.8
P10587	5.6.1.8
P10636	5.2.1.8
P37747	5.4.99.9
Q60037	3.2.1.8
O43001	3.1.3.36
P10144	3.4.21.79
P50187	3.1.21.4
P18485	4.4.1.14
O74213	3.2.1.15
P53780	4.4.1.8
Q12567	3.4.23.18
P14193	2.7.6.1
P04233	3.4.22.15
Q05488	5.4.99.1
Q01172	4.2.2.10
P9WGE7	1.15.1.1
P0A7J0	4.1.99.12
P35202	2.7.6.2
Q7SID8	3.2.1.8
P0A9G6	4.1.3.1
P09944	3.4.21.5
P51058	4.1.1.32
P08690	7.3.2.7
P09038	2.7.10.1
P26882	5.2.1.8
Q7SID7	3.2.1.17
P06986	2.6.1.9
Q7SID6	3.1.1.4
O26981	1.8.4.8
O58727	3.5.1.19
P21327	3.1.3.57
Q9DEF8	3.4.21.6
Q9IAM1	3.4.21.6
E7FHX4	3.1.22.4
Q5SM45	6.1.1.19
O32472	4.2.1.17
P11218	3.2.1.14
O80323	4.6.1.19
O57963	6.1.1.6
Q10588	3.2.2.6
P16444	3.4.13.19
Q7SIC9	2.2.1.1
O58321	3.4.19.3
Q8RQP5	4.6.1.12
Q53688	5.4.99.15
P26440	1.3.8.4
P08905	3.2.1.17
Q9S1A6	3.1.3.2
O98949	4.1.1.39
O98950	4.1.1.39
O52980	5.2.1.8
Q5SIM6	2.3.3.1
Q5SL87	3.6.4.12
Q9F1Q3	3.6.4.12
P70998	2.5.1.16
P0AB80	2.6.1.42
Q8LNY5	1.11.1.11
P10802	2.3.1.12
Q8GR70	4.2.1.11
Q8L3C8	1.6.5.5
P0CU33	3.4.23.18
Q90EB9	3.4.23.16
O57809	3.5.99.7
Q7M523	3.5.99.7
P38940	3.2.1.135
Q9P104	2.7.1.112
P46406	1.2.1.12
Q84II3	3.7.1.8
P23339	3.2.2.22
P84143	4.2.2.3
P16100	1.1.1.42
O58843	2.4.2.48
O25927	2.3.1.129
Q8RR70	2.6.1.1
P00741	3.4.21.22
P23807	3.4.21.22
Q7LZ71	3.4.21.22
Q5SL80	2.3.1.41
P84140	5.3.1.9
P26297	1.1.1.28
Q9X1X6	1.4.1.21
Q9WXR9	5.3.1.12
Q56319	4.1.1.48
Q9WY59	6.1.1.14
Q9WZS0	3.5.99.6
Q9WYA6	2.1.1.13
Q9WY73	6.3.2.8
Q00663	3.4.23.24
O33799	2.4.2.8
Q56313	3.6.4.12
P94622	3.2.1.4
Q42967	4.1.1.37
P96112	3.1.3.5
Q91086	3.1.4.11
O29370	1.5.1.40
P51177	4.6.1.2
Q8VQN0	5.1.99.1
P20839	1.1.1.205
Q24106	2.3.2.27
P25310	3.2.1.17
Q8TZR3	2.1.1.77
Q54506	2.7.7.4
P00702	3.2.1.17
Q9L6D3	3.1.1.3
A6QHR2	6.1.1.1
Q03026	3.4.24.40
O28558	3.1.1.1
P44920	2.7.1.24
O04841	3.6.1.17
Q62132	3.1.3.48
P04084	3.1.1.4
Q7KIF2	2.5.1.18
Q7KIF1	2.5.1.18
P04610	2.3.1.48
P05546	3.4.21.5
P0A9L5	5.2.1.8
P44007	4.4.1.21
P38677	5.5.1.5
P50389	2.4.2.1
Q9WZC2	2.5.1.16
P32816	1.1.1.6
O97389	3.4.17.1
P15651	1.3.8.1
P31896	1.2.7.4
P80067	3.4.14.1
P12269	1.1.1.205
P10746	4.2.1.75
Q7SIC3	1.15.1.1
Q12284	1.8.3.2
P80041	4.1.1.28
P0AC38	4.3.1.1
P37156	3.2.1.17
Q7SIC2	1.13.11.24
P04382	1.5.1.3
Q16222	2.7.7.23
Q09734	5.2.1.8
P12282	2.7.7.80
Q9LCR3	3.5.1.28
P05041	2.6.1.85
P08203	5.1.3.4
P96022	2.7.7.7
O32462	2.4.1.25
Q59787	1.1.1.14
P10349	2.3.1.15
P0A1V8	3.5.2.6
P14737	2.7.12.1
P96988	3.2.1.8
P0A752	2.7.7.18
Q8TG90	4.1.99.12
P12337	3.1.1.1
P04424	4.3.2.1
P05523	3.2.2.23
P20533	3.2.1.14
P80035	3.1.1.3
P28829	2.7.11.25
P14754	3.4.21.4
Q8U3L0	3.4.17.19
P0A6D7	2.7.1.71
P54455	2.7.7.18
P06988	1.1.1.23
Q61097	2.7.11.1
Q02219	1.7.2.1
P79074	3.2.1.15
P15337	2.3.1.48
Q9L5D6	3.5.1.93
P95780	4.2.1.46
P26391	4.2.1.46
P37700	3.2.1.4
P47244	5.4.2.2
Q9REI6	3.2.1.14
P04632	3.4.22.53
P52800	2.7.10.1
O88509	2.1.1.37
Q8VP84	2.4.2.18
P43411	2.7.4.3
P27410	2.7.7.48
P17726	3.4.21.6
P20875	3.4.23.16
Q92450	1.15.1.1
O66145	4.3.1.2
P16120	4.2.3.1
P0A0L5	5.3.1.1
P10902	1.4.3.16
P00861	4.1.1.20
P46859	2.7.1.12
P46154	1.2.1.46
Q50940	4.2.1.1
P59846	6.3.4.5
Q7SIB5	3.5.3.3
P0A6E4	6.3.4.5
P9WPB7	2.1.1.79
P22061	2.1.1.77
P07771	1.18.1.3
P0A8N3	6.1.1.6
P07464	2.3.1.18
O74705	3.2.1.4
O77044	3.2.1.4
Q9D0J4	3.1.4.17
P0AA43	5.4.99.19
Q9XSH5	5.2.1.8
Q90744	3.2.1.49
O66015	3.1.1.3
P18671	3.5.1.2
O57413	3.4.24.44
Q9X0X0	6.3.2.6
P17297	1.13.11.39
A3DC29	3.2.1.4
O69315	3.2.1.23
Q96UT7	1.10.3.2
P15807	4.99.1.1
P28002	2.1.1.68
P54656	2.3.1.184
Q9Y7P0	2.5.1.9
Q92844	2.3.2.27
Q29495	2.3.1.87
O32728	2.7.11.1
P29957	3.2.1.1
P36419	6.1.1.12
P9WPB3	2.1.1.79
Q59490	1.17.4.2
Q967M2	2.4.2.7
P08244	4.1.1.23
O26249	2.1.1.196
P00779	3.4.21.7
P36683	4.2.1.3
Q9HLQ2	3.1.3.18
P26996	6.5.1.2
Q58989	3.1.3.3
P17706	3.1.3.48
Q92820	3.4.19.9
Q9Y6Q6	2.3.2.27
P25942	2.3.2.27
P16622	4.99.1.1
P00733	3.4.17.8
P46844	1.3.1.24
P80424	3.4.21.4
Q7SIB4	1.4.1.9
O09110	2.7.11.24
Q59232	3.2.1.4
O85672	3.2.1.3
P45494	3.4.13.3
P61871	3.1.1.3
P15208	2.7.10.1
O50083	5.3.1.6
P97084	4.1.1.81
P47228	1.13.11.39
P0CB51	3.2.1.14
P32947	3.1.1.3
Q6S5M9	3.1.1.3
Q40772	3.2.2.22
P49012	1.11.1.14
Q9HTD9	1.1.1.1
Q9F2F0	3.5.1.88
P96113	3.5.1.88
P08148	3.4.24.36
P11941	3.2.1.17
P22346	3.4.14.11
P56653	3.1.2.23
P54748	3.1.4.17
P14218	1.8.1.4
O31410	3.5.1.88
P12293	1.1.99.8
P29898	1.1.99.8
P00717	3.2.1.17
E8ME30	1.1.1.27
P37727	2.5.1.60
Q64520	2.7.4.8
P09063	1.8.1.4
O27819	2.7.7.24
Q6UV28	3.1.1.4
P33198	1.1.1.42
P80099	2.4.1.25
P18075	2.7.11.30
Q53591	4.2.2.1
P28314	1.11.1.7
O85361	3.2.1.52
P44725	5.3.1.6
P41043	2.5.1.18
P08538	3.1.3.48
Q3UND0	3.1.3.48
Q08220	6.3.2.3
O60880	2.7.10.2
Q13291	2.7.10.2
O08355	1.1.1.67
O08498	3.5.2.6
P96060	2.6.1.37
P31057	2.1.2.11
Q8KR84	5.4.99.11
O28076	2.3.1.101
P55301	2.3.1.101
P0A794	2.6.99.2
Q9UBX1	3.4.22.41
O02611	5.3.1.1
Q9X266	4.1.2.5
P98078	4.2.99.18
P46206	1.11.1.6
Q12650	2.7.7.4
O42191	3.1.1.4
Q9DF33	3.1.1.4
P06632	1.1.1.346
Q72497	5.2.1.8
P18868	1.15.1.1
Q8AV11	3.4.21.4
Q64702	2.7.1.37
Q922S4	3.1.4.35
P0DJQ7	6.3.3.4
P61887	2.7.7.24
P30709	3.4.21.4
Q8ZNF3	2.6.1.87
P9WQB5	1.11.1.15
P07518	3.4.21.14
Q96RT1	2.7.10.1
P00334	1.1.1.1
O57385	3.1.1.4
O74023	2.1.1.63
P30289	3.1.27.3
Q04694	4.1.1.50
P07038	7.1.2.1
P27353	1.14.13.25
P27354	1.14.13.25
P27355	1.14.13.25
P56636	3.2.1.17
Q7SIB1	2.7.7.72
P51687	1.8.3.1
Q8U4G1	2.5.1.16
P0A004	1.14.13.39
P77918	2.1.3.2
P10648	2.5.1.18
P00346	1.1.1.37
P00948	5.3.3.4
O08505	4.2.1.30
Q59475	4.2.1.30
Q59476	4.2.1.30
Q10657	5.3.1.1
P06685	7.2.2.13
A0A6C6YZ99	2.7.7.24
P09177	3.4.23.23
Q6YBS3	3.1.1.43
P06622	1.13.11.2
P32320	3.5.4.5
Q8VVD2	3.2.1.131
Q09LY5	
O33199	3.6.1.13
Q9YYH6	3.4.23.16
Q9YX54	3.4.23.16
P11759	1.1.1.132
Q9SWE5	4.1.1.36
Q505N9	7.6.2.2
Q6KB05	7.6.2.2
P0A9H1	3.2.2.28
Q93IC2	3.4.16.4
Q7LYT7	3.2.1.1
P00885	4.1.2.14
Q8DIR2	1.15.1.1
O66540	4.1.2.4
Q9F6D4	2.3.1.41
P46014	3.1.3.16
O77103	2.4.2.7
O74866	2.7.1.26
P27623	2.7.7.39
P90551	1.1.1.8
O81192	5.5.1.8
P0A9D2	2.5.1.18
P26392	1.1.1.133
Q9WZX6	2.1.1.199
P0CK31	2.7.7.48
P0A6T5	3.5.4.16
Q28960	1.1.1.53
I6L991	2.7.7.49
P93031	4.2.1.47
Q9Y948	4.1.2.4
Q8CWU3	4.2.2.1
P31373	4.4.1.1
P02703	3.1.1.3
P16233	3.1.1.3
P9WK16	2.3.3.9
P06494	2.7.10.1
P30896	3.5.2.6
Q8WZM4	1.3.1.104
Q7SIA9	2.7.4.6
P32400	3.5.1.59
Q569W9	3.2.1.17
P00552	2.7.1.95
P81445	1.7.2.1
P46926	3.5.99.6
P0DPC1	3.3.2.1
Q8VTT5	3.5.2.2
P9WGT1	1.1.1.53
Q93PP9	1.16.3.1
P26213	3.2.1.15
P22851	3.2.2.22
O26708	6.1.1.15
Q58635	6.1.1.15
Q9TZZ6	4.1.1.17
P35028	2.7.4.3
P17443	2.4.1.227
P72391	2.3.1.39
P30418	2.3.1.97
Q9I4K6	2.5.1.18
Q60049	1.6.99.3
P04415	2.7.7.7
Q9L794	3.2.1.21
Q9HVA2	1.1.1.86
P05806	3.4.24.28
Q59922	3.2.1.8
P80645	1.14.14.5
Q9RV46	3.6.1.9
P00179	1.14.14.1
P37081	2.7.1.69
P27907	3.2.1.18
Q56320	5.3.1.24
Q9ZB17	5.1.3.3
P19926	3.1.3.10
P27099	5.5.1.7
Q846V4	3.4.21.5
Q08188	2.3.2.13
P06744	5.3.1.9
P0A9M5	2.4.2.22
O15520	2.7.10.1
P51016	1.2.1.10
Q52060	1.2.1.10
Q58484	1.1.1.25
Q22942	2.7.1.32
P80579	1.8.1.9
P14751	2.1.1.72
P9WJM5	1.8.4.11
Q07346	4.1.1.15
Q8NW68	6.1.1.3
P15770	1.1.1.25
P38444	2.7.11.30
A5JTM5	3.8.1.7
A0A140NAB7	6.1.1.18
P27443	1.1.1.38
Q9X0I6	3.1.26.3
Q9X1I7	3.4.11.18
Q9WZS1	3.5.1.25
Q9X0G9	5.3.1.6
Q9X1V6	3.1.4.46
Q9WYC9	1.2.1.41
Q9X0Y2	2.6.1.1
Q9WYS7	4.1.1.21
P0A284	2.7.1.69
Q9WZD3	2.5.1.47
Q9X1P6	4.3.1.4
Q9X0Q1	1.1.1.100
Q9WZI0	2.4.2.9
P21396	1.4.3.4
P45251	2.5.1.55
Q9JZW6	2.1.2.11
O34797	2.7.7.3
P03234	3.4.21.97
P48052	3.4.17.15
P02904	2.1.3.1
Q29451	3.2.1.24
P80148	2.3.3.1
P0A7Z0	5.3.1.6
P26646	1.3.1.84
P53570	1.5.8.2
P53571	1.5.8.2
Q9X519	5.4.2.12
Q9F5K5	2.1.1.209
P60355	1.11.1.6
Q28399	1.2.1.3
Q8NJY6	3.2.1.4
Q9KIH1	3.2.1.4
Q8J0K8	3.2.1.4
Q8VNU2	1.7.2.2
P0A1E3	2.5.1.47
Q01698	3.6.5.3
Q97YX6	3.1.22.4
O33830	3.2.1.20
P83696	1.2.1.12
Q72GM3	6.1.1.4
Q8GIP9	4.2.1.46
Q7SI97	1.1.1.27
Q5SJS9	2.7.7.3
Q5SID9	2.4.2.28
P94388	3.1.1.41
P30114	2.5.1.18
P55038	1.4.7.1
P43772	3.4.25.2
P43773	3.4.25.2
Q46079	4.2.2.19
P32449	2.5.1.54
P20974	2.4.2.31
P36946	5.4.99.62
O15923	3.6.1.23
P48845	3.2.1.11
Q9S850	1.8.3.1
Q53176	1.7.99.4
Q53177	1.7.99.4
P04786	5.6.2.1
Q8FI04	2.7.1.148
Q51225	1.8.1.4
Q7K9G0	2.8.1.2
P03422	2.7.7.48
Q8GCY3	3.1.4.3
O00095	3.2.1.4
O69771	3.4.24.40
Q9ES89	2.4.1.223
Q8GBW6	2.1.3.1
Q94655	1.8.1.7
Q9XVJ3	1.5.1.34
O26119	3.1.26.5
P97318	4.2.99.18
P31100	3.1.1.4
Q02471	3.1.1.4
P43099	4.1.1.17
P12544	3.4.21.78
P0A7E3	2.4.2.10
P08308	2.1.3.3
P0C0E6	2.7.1.21
P00480	2.1.3.3
P27505	1.3.3.11
Q9HKE7	5.4.99.61
P23234	4.1.1.74
P33734	4.3.2.10
P9WIL7	2.1.2.11
O67463	2.1.1.31
A2XMN2	2.5.1.18
Q10CE7	2.5.1.18
P28619	2.7.7.56
P05119	3.4.21.62
Q7T3S7	3.1.1.4
O57380	1.1.1.2
P50740	5.3.3.2
P78587	2.7.7.50
P42556	1.5.1.33
P45066	6.3.2.8
Q9RGD9	1.14.14.18
P08842	3.1.6.2
P0A433	3.1.8.1
P24425	2.7.1.21
P43876	1.1.1.25
P05100	3.2.2.20
Q45Z29	3.1.1.4
O00810	3.1.3.48
P23188	3.4.21.75
P36999	2.1.1.51
Q9U8D3	6.3.4.4
Q841S6	3.1.8.1
Q9HAB8	6.3.2.5
P0A873	2.1.1.31
Q8VUS7	1.4.9.1
Q8VUS8	1.4.9.1
Q8VUT0	1.4.9.1
P09954	3.4.17.1
P04960	4.2.2.2
P56252	4.2.1.11
P0C1A2	4.2.2.2
P61831	2.1.1.354
Q8X225	2.1.1.354
Q7M1S1	1.7.7.2
O15565	4.4.1.11
P31072	1.1.1.44
P18912	2.7.2.3
Q9R7D7	2.7.1.6
Q06700	7.2.4.5
Q9UMR5	3.1.2.22
P25924	2.1.1.107
O86262	2.1.1.67
P11979	2.7.1.40
Q07661	2.7.4.6
P0AFU8	2.5.1.9
Q01738	1.1.99.18
Q00796	1.1.1.14
P77847	3.2.1.78
P15245	1.14.13.7
Q93113	2.5.1.18
P21163	3.5.1.52
P06875	3.5.1.11
Q9DF52	3.1.1.4
P00598	3.1.1.4
P00630	3.1.1.4
P00624	3.1.1.4
P04361	3.1.1.4
P10056	3.4.22.30
Q55012	4.2.3.7
P42593	1.3.1.34
P02638	2.7.11.1
P14418	3.1.1.4
